Date,Short Volume,Total Volume
1/9/2018,30190,57721
1/10/2018,25837,52210
1/11/2018,24178,47844
1/12/2018,60723,116198
1/16/2018,45544,93845
1/17/2018,33312,67355
1/18/2018,29830,70973
1/19/2018,26011,61247
1/22/2018,36680,65766
1/23/2018,28885,66476
1/24/2018,35099,84644
1/25/2018,24834,58715
1/26/2018,44300,103974
1/29/2018,33861,66812
1/30/2018,32170,79723
1/31/2018,29460,66559
2/1/2018,63437,142673
2/2/2018,146837,277676
2/5/2018,90452,186135
2/6/2018,88209,191256
2/7/2018,52549,103361
2/8/2018,88788,156936
2/9/2018,190039,303074
2/12/2018,75374,125458
2/13/2018,52934,82950
2/14/2018,61539,105138
2/15/2018,63634,104304
2/16/2018,79694,129861
2/20/2018,52869,89274
2/21/2018,63622,108770
2/22/2018,54743,88665
2/23/2018,58420,92512
2/26/2018,46695,80157
2/27/2018,78668,152233
2/28/2018,84532,142200
3/1/2018,125966,217109
3/2/2018,107260,186159
3/5/2018,48176,78854
3/6/2018,42165,65272
3/7/2018,44076,73463
3/8/2018,79579,127250
3/9/2018,118195,168835
3/12/2018,89519,149868
3/13/2018,94278,169315
3/14/2018,86896,131251
3/15/2018,79314,126782
3/16/2018,92352,148258
3/19/2018,132260,204182
3/20/2018,95413,175615
3/21/2018,83847,139273
3/22/2018,137027,222176
3/23/2018,126168,191543
3/26/2018,100166,174240
3/27/2018,119478,194840
3/28/2018,176703,299235
3/29/2018,139381,234931
4/2/2018,139416,193148
4/3/2018,77219,117056
4/4/2018,77637,147847
4/5/2018,78186,117167
4/6/2018,91197,117751
4/9/2018,87648,118573
4/10/2018,74281,121579
4/11/2018,49568,92332
4/12/2018,45051,83603
4/13/2018,56381,94085
4/16/2018,43460,85206
4/17/2018,70112,126514
4/18/2018,52465,95064
4/19/2018,81047,137407
4/20/2018,97697,153574
4/23/2018,122862,207773
4/24/2018,215498,371509
4/25/2018,136130,224748
4/26/2018,88877,149098
4/27/2018,80897,149522
4/30/2018,51884,85172
5/1/2018,79401,117797
5/2/2018,71370,109997
5/3/2018,97571,168279
5/4/2018,74818,139697
5/7/2018,83877,140916
5/8/2018,66873,106712
5/9/2018,97581,176381
5/10/2018,77320,126739
5/11/2018,63320,104897
5/14/2018,90634,124766
5/15/2018,87051,122923
5/16/2018,54497,86993
5/17/2018,48889,81461
5/18/2018,62866,103636
5/21/2018,52659,88733
5/22/2018,31761,50214
5/23/2018,44929,69853
5/24/2018,31594,50433
5/25/2018,28768,50613
5/29/2018,51667,101063
5/30/2018,37325,78018
5/31/2018,141959,241624
6/1/2018,223627,326511
6/4/2018,116504,158356
6/5/2018,67795,102336
6/6/2018,68733,103206
6/7/2018,75930,115447
6/8/2018,64412,102523
6/11/2018,55836,84590
6/12/2018,34260,65493
6/13/2018,70235,106549
6/14/2018,93902,136843
6/15/2018,58949,97749
6/18/2018,53287,96807
6/19/2018,72559,168213
6/20/2018,79869,164693
6/21/2018,70544,133963
6/22/2018,40948,88484
6/25/2018,73349,160357
6/26/2018,44493,92625
6/27/2018,51642,110462
6/28/2018,46072,102838
6/29/2018,41402,79155
